review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000015,ORD-20251003-881718,CUST-10441,REST-AUH-001,It was okay. Chicken Tikka Masala  Fresh Lime Soda  Dal Makhani  and Chicken Seekh Kebab arrived lukewarm. Chicken Seekh Kebab tasted fine but could be better.,3,2025-10-06T15:44:13.864974
REV-000014,ORD-20251003-553436,CUST-10316,REST-DXB-001,Not good. Malai Kofta and Tandoori Roti arrived late and cold. Tandoori Roti had barely any flavor. Poor quality.,2,2025-10-08T13:39:55.864974
REV-000016,ORD-20251007-106150,CUST-10055,REST-SHJ-001,Perfect in every way! Rasmalai (2 pcs)  Samosa (2 pcs)  and Garlic Naan were all excellent. Garlic Naan stood out with its rich  authentic taste.,5,2025-10-08T18:59:43.864974
REV-000017,ORD-20251007-429705,CUST-10280,REST-AUH-001,Perfect in every way! Mango Lassi  Vegetable Biryani  Butter Chicken  and Chicken Tikka Masala were all excellent. Chicken Tikka Masala stood out with its rich  authentic taste.,5,2025-10-09T19:09:26.864974
REV-000018,ORD-20251010-385558,CUST-10367,REST-AUH-001,Mixed feelings. Palak Paneer and Naan were acceptable. Palak Paneer was decent but portion was small for the price.,3,2025-10-11T12:35:45.864974
REV-000019,ORD-20251011-373214,CUST-10182,REST-AUH-002,Absolutely amazing Garlic Naan and Fresh Lime Soda! The Fresh Lime Soda was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-10-14T16:49:05.864974
REV-000020,ORD-20251013-910232,CUST-10441,REST-DXB-001,Perfect in every way! Dal Makhani  Masala Chai  and Palak Paneer were all excellent. Dal Makhani stood out with its rich  authentic taste.,5,2025-10-14T18:18:30.864974
REV-000022,ORD-20251016-514217,CUST-10295,REST-DXB-002,Perfect in every way! Sweet Lassi were all excellent. Sweet Lassi stood out with its rich  authentic taste.,5,2025-10-19T18:41:12.864974
REV-000021,ORD-20251014-761772,CUST-10155,REST-DXB-001,Best Indian food in UAE! Mango Lassi and Fish Curry were incredible. Mango Lassi had the perfect balance of spices. Five stars!,5,2025-10-20T11:56:47.864974
REV-000023,ORD-20251018-138459,CUST-10099,REST-AUH-002,Very satisfied! Paneer Butter Masala  Samosa (2 pcs)  and Sweet Lassi were fresh and flavorful. Paneer Butter Masala was the standout dish.,4,2025-10-23T21:07:33.864974
REV-000024,ORD-20251102-482439,CUST-10498,REST-DXB-002,Good quality food. Rasmalai (2 pcs)  Kulfi  Butter Chicken  and Garlic Naan were nicely done. Kulfi could have been slightly spicier but still good!,4,2025-11-03T13:59:14.864974
REV-000025,ORD-20251103-583016,CUST-10468,REST-AUH-002,Average experience. Chole Bhature were fine but Chole Bhature was a bit bland. Room for improvement.,3,2025-11-08T17:01:01.864974
REV-000026,ORD-20251103-802062,CUST-10309,REST-SHJ-001,Really good Kulfi  Masala Chai  Sweet Lassi  Chicken Biryani  and Gajar Halwa! The Kulfi was delicious. Slight delay in delivery but food quality made up for it.,4,2025-11-09T18:48:08.864974
REV-000027,ORD-20251106-304872,CUST-10324,REST-AUH-001,Hands down the best Rasmalai (2 pcs) I've ever had! Kulfi  Chicken Biryani  Dal Makhani  Rasmalai (2 pcs)  and Tandoori Roti were all prepared beautifully. Fresh and flavorful!,5,2025-11-11T11:09:52.864974
REV-000028,ORD-20251108-712630,CUST-10096,REST-DXB-001,Hands down the best Fish Curry I've ever had! Sweet Lassi  Rasmalai (2 pcs)  Dal Makhani  and Fish Curry were all prepared beautifully. Fresh and flavorful!,5,2025-11-14T17:04:16.864974
REV-000031,ORD-20251114-583826,CUST-10189,REST-SHJ-001,Absolutely amazing Gulab Jamun (2 pcs) and Vegetable Biryani! The Gulab Jamun (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-17T14:57:36.864974
REV-000029,ORD-20251110-723080,CUST-10055,REST-AUH-002,Below expectations. Vegetable Biryani  Jeera Rice  and Naan were underwhelming. Vegetable Biryani was overcooked and dry.,2,2025-11-17T18:11:19.864974
REV-000030,ORD-20251112-515003,CUST-10372,REST-DXB-002,Very satisfied! Butter Chicken  Kulfi  and Chicken Biryani were fresh and flavorful. Kulfi was the standout dish.,4,2025-11-19T17:56:00.864974
REV-000032,ORD-20251114-985829,CUST-10275,REST-DXB-001,Decent food but nothing special. Lamb Rogan Josh  Jeera Rice  Mango Lassi  Dal Makhani  and Samosa (2 pcs) were okay. Mango Lassi lacked the punch I expected.,3,2025-11-20T17:43:19.864974
REV-000033,ORD-20251116-335849,CUST-10471,REST-SHJ-001,Perfect in every way! Aloo Tikki Chaat  Paneer Butter Masala  Garlic Naan  Palak Paneer  and Jeera Rice were all excellent. Jeera Rice stood out with its rich  authentic taste.,5,2025-11-23T11:19:40.864974
REV-000034,ORD-20251118-346665,CUST-10354,REST-DXB-001,Expected better. Chicken 65  Mango Lassi  and Fish Curry were subpar. Fish Curry was too oily and greasy. Stomach upset followed.,2,2025-11-24T11:54:40.864974
REV-000035,ORD-20251119-553932,CUST-10071,REST-DXB-001,Outstanding experience! The Fresh Lime Soda exceeded all expectations. Fresh Lime Soda was the star of the meal. Will definitely order again!,5,2025-11-25T20:18:29.864974
REV-000036,ORD-20251122-630026,CUST-10366,REST-AUH-002,Terrible experience! Rasmalai (2 pcs) and Mango Lassi were all inedible. Mango Lassi was completely burnt. Waste of money!,1,2025-11-25T21:19:22.864974
REV-000037,ORD-20251125-368818,CUST-10195,REST-AUH-002,Wow! Just wow! Samosa (2 pcs)  Paneer Tikka  Mango Lassi  Rasmalai (2 pcs)  and Jeera Rice were all fantastic. Jeera Rice was particularly memorable. Can't wait to order again!,5,2025-11-26T16:52:32.864974
REV-000038,ORD-20251126-502154,CUST-10436,REST-DXB-002,Hands down the best Gajar Halwa I've ever had! Gajar Halwa and Chicken Tikka Masala were all prepared beautifully. Fresh and flavorful!,5,2025-12-03T20:06:57.864974
REV-000039,ORD-20251130-133811,CUST-10433,REST-SHJ-001,Mediocre. Chicken Biryani  Chicken Tikka Masala  and Mango Lassi were fine but forgettable. Chicken Tikka Masala didn't stand out.,3,2025-12-05T22:05:09.864974
REV-000041,ORD-20251203-517922,CUST-10173,REST-DXB-001,Very satisfied! Chicken 65 were fresh and flavorful. Chicken 65 was the standout dish.,4,2025-12-08T15:52:57.864974
REV-000040,ORD-20251203-796903,CUST-10366,REST-DXB-002,Solid experience. Rasmalai (2 pcs) and Fresh Lime Soda were well-prepared. Fresh Lime Soda had great flavor. Minor issues with packaging.,4,2025-12-10T14:11:56.864974
REV-000042,ORD-20251207-928589,CUST-10095,REST-DXB-001,Solid experience. Vegetable Biryani  Fresh Lime Soda  and Butter Chicken were well-prepared. Butter Chicken had great flavor. Minor issues with packaging.,4,2025-12-11T13:17:14.864974
REV-000043,ORD-20251207-705230,CUST-10219,REST-AUH-001,Wow! Just wow! Tandoori Roti  Aloo Tikki Chaat  Garlic Naan  Rasmalai (2 pcs)  and Vegetable Biryani were all fantastic. Vegetable Biryani was particularly memorable. Can't wait to order again!,5,2025-12-11T13:17:17.864974
REV-000044,ORD-20251207-273922,CUST-10052,REST-DXB-002,Absolutely amazing Butter Chicken and Paneer Tikka! The Butter Chicken was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-12T22:30:38.864974
REV-000045,ORD-20251211-692430,CUST-10109,REST-DXB-001,Great food overall. Palak Paneer  Chicken Biryani  and Vegetable Biryani were tasty  especially the Vegetable Biryani. Would order again!,4,2025-12-15T10:15:16.864974
REV-000048,ORD-20251218-661034,CUST-10244,REST-AUH-002,Below expectations. Mango Lassi  Chole Bhature  Kulfi  Gajar Halwa  and Dal Makhani were underwhelming. Mango Lassi was overcooked and dry.,2,2025-12-19T14:12:05.864974
REV-000046,ORD-20251215-173279,CUST-10165,REST-DXB-002,Outstanding experience! The Kulfi and Mango Lassi exceeded all expectations. Kulfi was the star of the meal. Will definitely order again!,5,2025-12-21T12:53:54.864974
REV-000047,ORD-20251218-353823,CUST-10476,REST-SHJ-001,Enjoyed the Samosa (2 pcs)  Naan  Tandoori Roti  and Paneer Butter Masala! Paneer Butter Masala was very good. Portion sizes were generous. Recommend!,4,2025-12-23T13:44:29.864974
REV-000049,ORD-20251222-744407,CUST-10301,REST-SHJ-001,Best Indian food in UAE! Mango Lassi and Paneer Tikka were incredible. Mango Lassi had the perfect balance of spices. Five stars!,5,2025-12-25T13:15:24.864974
REV-000052,ORD-20251224-215961,CUST-10274,REST-SHJ-001,Exceptional quality! Ordered Sweet Lassi  Chicken Seekh Kebab  Paneer Butter Masala  Naan  and Jeera Rice and everything was delicious. The Paneer Butter Masala melted in my mouth. Perfect!,5,2025-12-27T18:14:21.864974
REV-000053,ORD-20251225-432866,CUST-10107,REST-SHJ-001,Solid experience. Tandoori Roti and Chicken Seekh Kebab were well-prepared. Tandoori Roti had great flavor. Minor issues with packaging.,4,2025-12-29T14:57:14.864974
REV-000051,ORD-20251224-459572,CUST-10266,REST-AUH-001,Disappointed with Jeera Rice  Sweet Lassi  Tandoori Roti  Chicken Biryani  and Kulfi. Sweet Lassi was cold when it arrived. Not worth the money.,2,2025-12-29T15:50:45.864974
REV-000050,ORD-20251223-209229,CUST-10128,REST-DXB-001,Hands down the best Garlic Naan I've ever had! Garlic Naan  Paneer Tikka  and Gulab Jamun (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2025-12-30T14:56:15.864974
REV-000054,ORD-20251227-926502,CUST-10251,REST-AUH-001,Mixed feelings. Butter Naan  Butter Chicken  Fresh Lime Soda  and Vegetable Biryani were acceptable. Butter Naan was decent but portion was small for the price.,3,2025-12-31T14:34:16.864974
REV-000056,ORD-20260101-597892,CUST-10415,REST-SHJ-001,Incredible meal! Rasmalai (2 pcs)  Sweet Lassi  and Aloo Tikki Chaat arrived hot and fresh. The Rasmalai (2 pcs) was absolutely divine. Highly satisfied!,5,2026-01-03T10:36:06.864974
REV-000055,ORD-20251228-201342,CUST-10224,REST-DXB-001,Solid experience. Gajar Halwa  Chicken Biryani  Garlic Naan  and Kulfi were well-prepared. Gajar Halwa had great flavor. Minor issues with packaging.,4,2026-01-04T12:20:25.864974
REV-000057,ORD-20260102-484442,CUST-10383,REST-AUH-001,Outstanding experience! The Masala Chai and Lamb Rogan Josh exceeded all expectations. Masala Chai was the star of the meal. Will definitely order again!,5,2026-01-06T18:08:30.864974
REV-000058,ORD-20260102-142691,CUST-10128,REST-SHJ-001,Exceptional quality! Ordered Jeera Rice  Tandoori Roti  Butter Chicken  and Chicken Tikka Masala and everything was delicious. The Jeera Rice melted in my mouth. Perfect!,5,2026-01-06T20:58:38.864974
REV-000059,ORD-20260107-269011,CUST-10402,REST-DXB-001,Enjoyed the Gajar Halwa! Gajar Halwa was very good. Portion sizes were generous. Recommend!,4,2026-01-11T15:10:58.864974
REV-000060,ORD-20260109-720244,CUST-10074,REST-DXB-001,Best Indian food in UAE! Paneer Tikka  Fish Curry  Lamb Rogan Josh  Gulab Jamun (2 pcs)  and Butter Naan were incredible. Lamb Rogan Josh had the perfect balance of spices. Five stars!,5,2026-01-11T18:46:58.864974
REV-000061,ORD-20260110-771212,CUST-10422,REST-DXB-001,Wow! Just wow! Gulab Jamun (2 pcs)  Chicken Biryani  and Masala Chai were all fantastic. Masala Chai was particularly memorable. Can't wait to order again!,5,2026-01-11T22:56:57.864974
REV-000062,ORD-20260114-724567,CUST-10366,REST-SHJ-001,Incredible meal! Butter Chicken  Chicken Seekh Kebab  Chicken 65  Tandoori Roti  and Paneer Butter Masala arrived hot and fresh. The Chicken 65 was absolutely divine. Highly satisfied!,5,2026-01-18T18:05:29.864974
REV-000063,ORD-20260115-888246,CUST-10436,REST-DXB-002,Exceptional quality! Ordered Chicken Biryani  Paneer Butter Masala  Aloo Tikki Chaat  Vegetable Biryani  and Paneer Tikka and everything was delicious. The Chicken Biryani melted in my mouth. Perfect!,5,2026-01-22T22:44:12.864974
REV-000066,ORD-20260122-399921,CUST-10390,REST-SHJ-001,Mixed feelings. Chicken Seekh Kebab were acceptable. Chicken Seekh Kebab was decent but portion was small for the price.,3,2026-01-23T21:59:59.864974
REV-000064,ORD-20260118-434663,CUST-10011,REST-DXB-001,Hands down the best Naan I've ever had! Naan were all prepared beautifully. Fresh and flavorful!,5,2026-01-24T10:20:05.864974
REV-000065,ORD-20260122-100468,CUST-10394,REST-AUH-002,Outstanding experience! The Chicken Biryani  Fish Curry  Aloo Tikki Chaat  Chicken Seekh Kebab  and Mango Lassi exceeded all expectations. Chicken Biryani was the star of the meal. Will definitely order again!,5,2026-01-28T10:47:16.864974
REV-000067,ORD-20260123-432185,CUST-10015,REST-AUH-002,Best Indian food in UAE! Fish Curry  Chicken 65  Naan  and Butter Chicken were incredible. Naan had the perfect balance of spices. Five stars!,5,2026-01-29T16:11:08.864974
REV-000068,ORD-20260123-717794,CUST-10134,REST-AUH-001,Really good Mango Lassi  Naan  Gajar Halwa  Samosa (2 pcs)  and Jeera Rice! The Naan was delicious. Slight delay in delivery but food quality made up for it.,4,2026-01-29T17:22:34.864974
REV-000069,ORD-20260126-537778,CUST-10307,REST-SHJ-001,Perfect in every way! Chole Bhature were all excellent. Chole Bhature stood out with its rich  authentic taste.,5,2026-01-31T19:12:41.864974
REV-000072,ORD-20260130-389958,CUST-10374,REST-DXB-002,Great food overall. Samosa (2 pcs)  Rasmalai (2 pcs)  and Kulfi were tasty  especially the Kulfi. Would order again!,4,2026-02-02T15:29:38.864974
REV-000071,ORD-20260129-265530,CUST-10029,REST-AUH-002,Perfect in every way! Fresh Lime Soda  Chicken Biryani  Mango Lassi  and Lamb Rogan Josh were all excellent. Mango Lassi stood out with its rich  authentic taste.,5,2026-02-02T16:46:07.864974
REV-000074,ORD-20260131-827128,CUST-10167,REST-DXB-002,Hands down the best Butter Naan I've ever had! Butter Naan and Butter Chicken were all prepared beautifully. Fresh and flavorful!,5,2026-02-03T13:18:26.864974
REV-000073,ORD-20260131-516824,CUST-10121,REST-AUH-002,Poor experience. Masala Chai  Rasmalai (2 pcs)  and Chole Bhature were disappointing. Masala Chai was burnt on the edges. Very unhappy.,2,2026-02-04T11:08:59.864974
REV-000070,ORD-20260128-140893,CUST-10399,REST-DXB-001,Solid experience. Aloo Tikki Chaat were well-prepared. Aloo Tikki Chaat had great flavor. Minor issues with packaging.,4,2026-02-04T18:15:45.864974
REV-000075,ORD-20260202-797517,CUST-10361,REST-DXB-002,Pleasant meal! Naan  Fresh Lime Soda  Tandoori Roti  Lamb Rogan Josh  and Malai Kofta arrived warm. Lamb Rogan Josh was tasty though not exceptional. Would order again.,4,2026-02-05T10:54:05.864974
REV-000077,ORD-20260204-419519,CUST-10307,REST-AUH-002,Mixed feelings. Garlic Naan  Aloo Tikki Chaat  and Sweet Lassi were acceptable. Sweet Lassi was decent but portion was small for the price.,3,2026-02-07T22:10:58.864974
REV-000078,ORD-20260205-177974,CUST-10338,REST-DXB-001,Worst food ever! Vegetable Biryani were all wrong. Vegetable Biryani made me sick. Never ordering again!,1,2026-02-10T15:46:04.864974
REV-000076,ORD-20260204-416670,CUST-10018,REST-AUH-001,Good quality food. Aloo Tikki Chaat  Malai Kofta  and Paneer Butter Masala were nicely done. Paneer Butter Masala could have been slightly spicier but still good!,4,2026-02-11T15:54:03.864974
REV-000080,ORD-20260217-849737,CUST-10253,REST-AUH-002,Incredible meal! Palak Paneer and Dal Makhani arrived hot and fresh. The Dal Makhani was absolutely divine. Highly satisfied!,5,2026-02-19T11:50:18.864974
REV-000079,ORD-20260216-715915,CUST-10030,REST-SHJ-001,Really good Paneer Butter Masala and Chicken Biryani! The Paneer Butter Masala was delicious. Slight delay in delivery but food quality made up for it.,4,2026-02-19T16:59:21.864974
REV-000081,ORD-20260217-262881,CUST-10048,REST-DXB-002,Terrible experience! Rasmalai (2 pcs)  Tandoori Roti  Butter Naan  and Palak Paneer were all inedible. Rasmalai (2 pcs) was completely burnt. Waste of money!,1,2026-02-21T20:53:00.864974
REV-000082,ORD-20260221-922390,CUST-10292,REST-SHJ-001,Poor experience. Butter Naan and Naan were disappointing. Butter Naan was burnt on the edges. Very unhappy.,2,2026-02-24T15:47:18.864974
REV-000084,ORD-20260223-812517,CUST-10026,REST-DXB-002,Best Indian food in UAE! Palak Paneer were incredible. Palak Paneer had the perfect balance of spices. Five stars!,5,2026-02-27T22:57:30.864974
REV-000083,ORD-20260223-896067,CUST-10165,REST-AUH-002,Great food overall. Samosa (2 pcs) were tasty  especially the Samosa (2 pcs). Would order again!,4,2026-03-01T21:53:54.864974
REV-000085,ORD-20260227-691477,CUST-10025,REST-AUH-001,Incredible meal! Fish Curry  Butter Naan  Paneer Tikka  and Dal Makhani arrived hot and fresh. The Butter Naan was absolutely divine. Highly satisfied!,5,2026-03-03T19:31:03.864974
